Place of interest,Type of place,Station location,BiciMAD station,Station location
Centro Sociocultural José de Espronceda (Tetuán),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Doctor Santero nº 1,204 - Cuatro Caminos 2,Calle Doctor Santero nº 1
Centro Sociocultural Las Tablas (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Latina,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural Luis Gonzaga (Chamartín),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle María Francisca nº 1,146 - María Francisca 1,Calle María Francisca nº 1
Centro Sociocultural Maestro Alonso (Salamanca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Alejandro González nº 1,187 - Alcalá-Ventas,Calle Alejandro González nº 1
Centro Sociocultural Marconi (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Oporto (Carabanchel),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta Marqués de Vadillo nº 9,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro Sociocultural Rafael de León (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Francos Rodríguez nº 62,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Centro Sociocultural Rosario de Acuña (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Centro Sociocultural San Cristóbal de los Ángeles (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural San Fermín (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural Santa Petronila (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Arroyo del Olivar nº 6,227 - Concordia,Calle Arroyo del Olivar nº 6
Centro Sociocultural Teresa de Calcuta (Barajas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro Sociocultural Tetuán,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle San Germán nº 57,155 - San Germán 57,Calle San Germán nº 57
Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Valverde (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Sociocultural Vicálvaro,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Sociocultural de Moratalaz,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Sociocultural Ágata (Villaverde),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro de Cultura Contemporánea Conde Duque,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Conde Duque nº 22,13 - Conde Duque,Calle Conde Duque nº 22
Centro de Educación Ambiental y Cultural Maris Stella (Usera),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Antonio López nº 129,213 - Glorieta de Cádiz,Calle Antonio López nº 129
CentroCentro,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Plaza Cibeles,86 - Cibeles,Plaza Cibeles
"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Ayala nº 44,87 - Ayala,Calle Ayala nº 44
Espacio Cultural Serrería Belga,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Almadén nº 28,67 - Almadén,Calle Almadén nº 28
Espacio Polivalente Embajadores,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Mesón de Paredes nº 35,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Fernán Gómez Centro Cultural de la Villa,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Goya nº 1,93 - Plaza de Colón,Calle Goya nº 1
Matadero Madrid,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Bolívar nº 3,177 - Legazpi,Calle Bolívar nº 3
Medialab en Matadero. Matadero Madrid,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Bolívar nº 3,177 - Legazpi,Calle Bolívar nº 3
Nave de Terneras del Centro Cultural Casa del Reloj,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Jaime el Conquistador nº 30,175 - Jaime el Conquistador,Calle Jaime el Conquistador nº 30
Salas de ensayo Pau Donés y Luis Eduardo Aute (Salamanca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sancho Dávila esquina Paseo Marqués de Zafra,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Salón y sala de exposiciones en Junta Municipal de Usera,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle San Delfín nº 9,228 - San Delfín,Calle San Delfín nº 9
Casa Museo Lope de Vega,Museos de la ciudad de Madrid,Calle Jesús nº 1,27 - Huertas,Calle Jesús nº 1
Casita - Museo del Ratón Pérez,Museos de la ciudad de Madrid,Plaza de la Provincia nº 1,32 - Plaza de la Provincia,Plaza de la Provincia nº 1
Castillo de la Alameda,Museos de la ciudad de Madrid,Calle Gutierre de Cetina nº 77,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Casón del Buen Retiro. Centro de Estudios del Museo Nacional del Prado,Museos de la ciudad de Madrid,Calle Antonio Maura nº 15,65 - Antonio Maura,Calle Antonio Maura nº 15
Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,Museos de la ciudad de Madrid,Plaza de la Cebada nº 16 ,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 
Ermita de San Antonio de la Florida (Museo),Museos de la ciudad de Madrid,Paseo de la Florida nº 8,161 - Paseo de la Florida,Paseo de la Florida nº 8
Espacio Fundación Telefónica,Museos de la ciudad de Madrid,Calle Desengaño nº 1,211 - Desengaño,Calle Desengaño nº 1
Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,Museos de la ciudad de Madrid,Avenida Complutense nº 23,261 - Facultad Derecho,Avenida Complutense nº 23
La Casa Encendida de la Fundación Montemadrid,Museos de la ciudad de Madrid,Ronda de Atocha nº 34,49 - Casa Encendida,Ronda de Atocha nº 34
Museo ABC,Museos de la ciudad de Madrid,Calle Conde Duque nº 22,13 - Conde Duque,Calle Conde Duque nº 22
Museo Africano Misioneros Combonianos,Museos de la ciudad de Madrid,Calle Carlota O'Neill nº 32,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Museo Arqueológico Nacional,Museos de la ciudad de Madrid,Calle Claudio Coello nº 109,95 - Villanueva,Calle Claudio Coello nº 109
Museo Casa de la Moneda,Museos de la ciudad de Madrid,Calle Jorge Juan nº 131,101 - Jorge Juan,Calle Jorge Juan nº 131
Museo Cerralbo,Museos de la ciudad de Madrid,Calle Quintana nº 11,114 - Quintana,Calle Quintana nº 11
Museo EMT,Museos de la ciudad de Madrid,Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Museo Félix Cañada,Museos de la ciudad de Madrid,Calle Santa Engracia nº 127,130 - Santa Engracia 127,Calle Santa Engracia nº 127
Museo Geominero,Museos de la ciudad de Madrid,Calle Santa Engracia nº 127,130 - Santa Engracia 127,Calle Santa Engracia nº 127
Museo Histórico Minero Don Felipe de Borbón y Grecia,Museos de la ciudad de Madrid,Calle Santa Engracia nº 127,130 - Santa Engracia 127,Calle Santa Engracia nº 127
Museo ICO,Museos de la ciudad de Madrid,Calle Alcalá nº 27,28 - Sevilla,Calle Alcalá nº 27
Museo Los Caños del Peral. Estación de Metro Ópera,Museos de la ciudad de Madrid,Calle Carlos III nº 1,24 - Palacio de Oriente,Calle Carlos III nº 1
Museo Lázaro Galdiano,Museos de la ciudad de Madrid,Paseo de la Castellana nº 43,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Museos de la ciudad de Madrid,Calle Santa Isabel nº 57,50 - Museo Reina Sofía,Calle Santa Isabel nº 57
Museo Nacional Thyssen-Bornemisza,Museos de la ciudad de Madrid,Calle del Marqués de Cubas nº 25,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Museo Nacional de Antropología,Museos de la ciudad de Madrid,Paseo de la Infanta Isabel nº 3,80b - Atocha B,Paseo de la Infanta Isabel nº 3
Museo Nacional de Artes Decorativas,Museos de la ciudad de Madrid,Calle Antonio Maura nº 15,65 - Antonio Maura,Calle Antonio Maura nº 15
Museo Nacional de Ciencias Naturales,Museos de la ciudad de Madrid,Calle José Gutiérrez Abascal nº 2,139 - José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2
Museo Naval,Museos de la ciudad de Madrid,Plaza Cibeles,86 - Cibeles,Plaza Cibeles
Museo Postal y Telegráfico,Museos de la ciudad de Madrid,Avenida Complutense nº 23,261 - Facultad Derecho,Avenida Complutense nº 23
Museo Sorolla,Museos de la ciudad de Madrid,Calle Fernández de la Hoz nº 29,125 - General Martínez Campos ,Calle Fernández de la Hoz nº 29
Museo Taurino de la Comunidad de Madrid,Museos de la ciudad de Madrid,Calle Alejandro González nº 1,187 - Alcalá-Ventas,Calle Alejandro González nº 1
Museo Tiflológico,Museos de la ciudad de Madrid,Calle San Germán nº 57,155 - San Germán 57,Calle San Germán nº 57
Museo de Aeronáutica y Astronáutica,Museos de la ciudad de Madrid,Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Museo de América,Museos de la ciudad de Madrid,Paseo de Moret nº 2,110 - Moncloa,Paseo de Moret nº 2
Museo de Arte Contemporáneo de Madrid,Museos de la ciudad de Madrid,Calle Conde Duque nº 22,13 - Conde Duque,Calle Conde Duque nº 22
Museo de Astronomía y Geodesia,Museos de la ciudad de Madrid,Calle José Antonio Novais frente al nº 12,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12
Museo de Bomberos de Madrid,Museos de la ciudad de Madrid,Camino de Valderribas nº 94,226 - Sierra Toledana,Camino de Valderribas nº 94
Museo de Calcografía Nacional,Museos de la ciudad de Madrid,Calle Alcalá nº 27,28 - Sevilla,Calle Alcalá nº 27
Museo de Cera,Museos de la ciudad de Madrid,Calle Marqués de la Ensenada nº 16,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Museo de Escultura al Aire Libre de la Castellana,Museos de la ciudad de Madrid,Paseo de la Castellana nº 42,142 - Castellana 42,Paseo de la Castellana nº 42
Museo de Historia de Madrid,Museos de la ciudad de Madrid,Calle Barceló nº 7,54 - Barceló,Calle Barceló nº 7
Museo de Historia de la Comunidad Judía de Madrid,Museos de la ciudad de Madrid,Calle Santa Engracia nº 87,246 - Santa Engracia 87,Calle Santa Engracia nº 87
Museo de Mineralogía,Museos de la ciudad de Madrid,Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Museo de San Isidro. Los Orígenes de Madrid,Museos de la ciudad de Madrid,Carrera de San Francisco nº 1,38 - Plaza de los Carros,Carrera de San Francisco nº 1
Museo de Sanidad e Higiene Pública,Museos de la ciudad de Madrid,Calle Sinesio Delgado nº 2,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
Museo de la Biblioteca Nacional de España,Museos de la ciudad de Madrid,Paseo de Recoletos nº 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
Museo de la Catedral de la Almudena,Museos de la ciudad de Madrid,Calle Segovia nº 26,166 - Segovia 26,Calle Segovia nº 26
Museo de la Farmacia Hispana,Museos de la ciudad de Madrid,Avenida de la Complutense (Metro Ciudad Universitaria),258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Museo de la Guardia Civil,Museos de la ciudad de Madrid,Calle Beatriz de Bobadilla frente al nº 2,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Museo de la Real Academia de Bellas Artes de San Fernando,Museos de la ciudad de Madrid,Calle Alcalá nº 27,28 - Sevilla,Calle Alcalá nº 27
Museo del Ferrocarril de Madrid,Museos de la ciudad de Madrid,Calle Palos de la Frontera nº 27,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27
Museo del Prado,Museos de la ciudad de Madrid,Calle Espalter nº 1,68 - Espalter,Calle Espalter nº 1
Museo del Reloj Grassy,Museos de la ciudad de Madrid,Calle Alcalá nº 27,28 - Sevilla,Calle Alcalá nº 27
Museo del Romanticismo,Museos de la ciudad de Madrid,Calle Barceló nº 7,54 - Barceló,Calle Barceló nº 7
Museo del Seguro. Fundación Mapfre,Museos de la ciudad de Madrid,Paseo de Recoletos nº 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Museos de la ciudad de Madrid,Avenida Juan de Herrera frente a la calle Paul Guinard,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Palacio Real de El Pardo,Museos de la ciudad de Madrid,Avenida Complutense nº 23,261 - Facultad Derecho,Avenida Complutense nº 23
Palacio Real de Madrid,Museos de la ciudad de Madrid,Calle Pavía nº 6,30 - San Quintín,Calle Pavía nº 6
Panteón de Hombres Ilustres,Museos de la ciudad de Madrid,Avenida de Menéndez Pelayo nº 38,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
Parroquia Santa Cruz,Museos de la ciudad de Madrid,Plaza del Conde de Romanones nº 9,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9
Planetario de Madrid,Museos de la ciudad de Madrid,Calle Sodio nº 1B,235 - Embajadores 191,Calle Sodio nº 1B
Real Basílica San Francisco el Grande,Museos de la ciudad de Madrid,Plaza de San Francisco nº 5,37 - Plaza de San Francisco,Plaza de San Francisco nº 5
Real Fábrica de Tapices,Museos de la ciudad de Madrid,Avenida de Menéndez Pelayo nº 38,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
Real Monasterio de Santa Isabel,Museos de la ciudad de Madrid,Calle Atocha nº 54,41 - Antón Martín,Calle Atocha nº 54
Real Monasterio de la Encarnación,Museos de la ciudad de Madrid,Calle Pavía nº 6,30 - San Quintín,Calle Pavía nº 6
Real Monasterio de las Descalzas Reales,Museos de la ciudad de Madrid,Plaza de Santo Domingo nº 1,23 - Santo Domingo,Plaza de Santo Domingo nº 1
Templo de Debod,Museos de la ciudad de Madrid,Calle Quintana nº 11,114 - Quintana,Calle Quintana nº 11
The Robot Museum (Museo del Robot),Museos de la ciudad de Madrid,Paseo de la Castellana nº 42,142 - Castellana 42,Paseo de la Castellana nº 42
Yacimiento paleontológico. Estación de Metro Carpetana,Museos de la ciudad de Madrid,Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
Zapadores Ciudad del Arte,Museos de la ciudad de Madrid,Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
